#Nearest Neighbor Entropy Estimator. X~Beta(s+1,s+1)^d. Average over 500 tries
#d	s	k	N	sqMSE	slope	intercept
2	0.5	3	32	0.1957	-0.5590	0.3080
2	0.5	3	64	0.1348	-0.5590	0.3080
2	0.5	3	128	0.0895	-0.5590	0.3080
2	0.5	3	256	0.0596	-0.5590	0.3080
2	0.5	3	512	0.0432	-0.5590	0.3080
2	0.5	3	1024	0.0280	-0.5590	0.3080
2	0.5	3	2048	0.0191	-0.5590	0.3080
2	0.5	4	32	0.1932	-0.5686	0.3153
2	0.5	4	64	0.1260	-0.5686	0.3153
2	0.5	4	128	0.0872	-0.5686	0.3153
2	0.5	4	256	0.0599	-0.5686	0.3153
2	0.5	4	512	0.0392	-0.5686	0.3153
2	0.5	4	1024	0.0259	-0.5686	0.3153
2	0.5	4	2048	0.0183	-0.5686	0.3153
2	0.5	5	32	0.1973	-0.5823	0.3496
2	0.5	5	64	0.1254	-0.5823	0.3496
2	0.5	5	128	0.0805	-0.5823	0.3496
2	0.5	5	256	0.0545	-0.5823	0.3496
2	0.5	5	512	0.0380	-0.5823	0.3496
2	0.5	5	1024	0.0245	-0.5823	0.3496
2	0.5	5	2048	0.0174	-0.5823	0.3496
2	0.5	6	32	0.2192	-0.6201	0.5969
2	0.5	6	64	0.1416	-0.6201	0.5969
2	0.5	6	128	0.0867	-0.6201	0.5969
2	0.5	6	256	0.0552	-0.6201	0.5969
2	0.5	6	512	0.0372	-0.6201	0.5969
2	0.5	6	1024	0.0247	-0.6201	0.5969
2	0.5	6	2048	0.0169	-0.6201	0.5969
2	0.5	7	32	0.2252	-0.6327	0.6469
2	0.5	7	64	0.1363	-0.6327	0.6469
2	0.5	7	128	0.0848	-0.6327	0.6469
2	0.5	7	256	0.0561	-0.6327	0.6469
2	0.5	7	512	0.0356	-0.6327	0.6469
2	0.5	7	1024	0.0243	-0.6327	0.6469
2	0.5	7	2048	0.0158	-0.6327	0.6469
2	0.5	8	32	0.2349	-0.6278	0.6533
2	0.5	8	64	0.1347	-0.6278	0.6533
2	0.5	8	128	0.0900	-0.6278	0.6533
2	0.5	8	256	0.0580	-0.6278	0.6533
2	0.5	8	512	0.0369	-0.6278	0.6533
2	0.5	8	1024	0.0244	-0.6278	0.6533
2	0.5	8	2048	0.0170	-0.6278	0.6533
2	0.5	9	32	0.2431	-0.6495	0.7917
2	0.5	9	64	0.1474	-0.6495	0.7917
2	0.5	9	128	0.0908	-0.6495	0.7917
2	0.5	9	256	0.0590	-0.6495	0.7917
2	0.5	9	512	0.0375	-0.6495	0.7917
2	0.5	9	1024	0.0251	-0.6495	0.7917
2	0.5	9	2048	0.0159	-0.6495	0.7917
2	0.5	10	32	0.2715	-0.6680	0.9533
2	0.5	10	64	0.1545	-0.6680	0.9533
2	0.5	10	128	0.1021	-0.6680	0.9533
2	0.5	10	256	0.0627	-0.6680	0.9533
2	0.5	10	512	0.0387	-0.6680	0.9533
2	0.5	10	1024	0.0245	-0.6680	0.9533
2	0.5	10	2048	0.0170	-0.6680	0.9533
2	1.0	1	32	0.2873	-0.4993	0.4719
2	1.0	1	64	0.1996	-0.4993	0.4719
2	1.0	1	128	0.1391	-0.4993	0.4719
2	1.0	1	256	0.0999	-0.4993	0.4719
2	1.0	1	512	0.0731	-0.4993	0.4719
